retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of provider and non-provider sales by product type,Q1-2020,Decumulation products,Provider,14632
Number of provider and non-provider sales by product type,Q1-2021,Decumulation products,Provider,16464
Number of provider and non-provider sales by product type,Q2-2020,Decumulation products,Provider,10684
Number of provider and non-provider sales by product type,Q2-2017,Decumulation products,Provider,10956
Number of provider and non-provider sales by product type,Q2-2018,Decumulation products,Provider,12607
Number of provider and non-provider sales by product type,Q2-2021,Decumulation products,Provider,15058
Number of provider and non-provider sales by product type,Q2-2019,Decumulation products,Provider,15550
Number of provider and non-provider sales by product type,Q3-2017,Decumulation products,Provider,10834
Number of provider and non-provider sales by product type,Q3-2018,Decumulation products,Provider,13491
Number of provider and non-provider sales by product type,Q3-2020,Decumulation products,Provider,14183
Number of provider and non-provider sales by product type,Q3-2021,Decumulation products,Provider,15876
Number of provider and non-provider sales by product type,Q3-2019,Decumulation products,Provider,16106
Number of provider and non-provider sales by product type,Q4-2017,Decumulation products,Provider,11285
Number of provider and non-provider sales by product type,Q4-2018,Decumulation products,Provider,13460
Number of provider and non-provider sales by product type,Q4-2020,Decumulation products,Provider,14286
Number of provider and non-provider sales by product type,Q4-2021,Decumulation products,Provider,15267
Number of provider and non-provider sales by product type,Q4-2019,Decumulation products,Provider,15767
Number of provider and non-provider sales by product type,Q1-2021,Endowments,Non-provider,140
Number of provider and non-provider sales by product type,Q1-2018,Endowments,Non-provider,141
Number of provider and non-provider sales by product type,Q1-2020,Endowments,Non-provider,257
Number of provider and non-provider sales by product type,Q1-2019,Endowments,Non-provider,264
Number of provider and non-provider sales by product type,Q1-2017,Endowments,Non-provider,325
Number of provider and non-provider sales by product type,Q2-2020,Endowments,Non-provider,52
Number of provider and non-provider sales by product type,Q2-2021,Endowments,Non-provider,112
Number of provider and non-provider sales by product type,Q2-2018,Endowments,Non-provider,149
Number of provider and non-provider sales by product type,Q2-2017,Endowments,Non-provider,196
Number of provider and non-provider sales by product type,Q2-2019,Endowments,Non-provider,245
Number of provider and non-provider sales by product type,Q3-2020,Endowments,Non-provider,135
Number of provider and non-provider sales by product type,Q3-2021,Endowments,Non-provider,148
Number of provider and non-provider sales by product type,Q3-2018,Endowments,Non-provider,152
Number of provider and non-provider sales by product type,Q3-2017,Endowments,Non-provider,179
Number of provider and non-provider sales by product type,Q3-2019,Endowments,Non-provider,211
Number of provider and non-provider sales by product type,Q4-2018,Endowments,Non-provider,85
Number of provider and non-provider sales by product type,Q4-2021,Endowments,Non-provider,92
Number of provider and non-provider sales by product type,Q4-2020,Endowments,Non-provider,102
Number of provider and non-provider sales by product type,Q4-2019,Endowments,Non-provider,166
Number of provider and non-provider sales by product type,Q4-2017,Endowments,Non-provider,173
Number of provider and non-provider sales by product type,Q1-2021,Endowments,Provider,2872
Number of provider and non-provider sales by product type,Q1-2019,Endowments,Provider,9664
Number of provider and non-provider sales by product type,Q1-2020,Endowments,Provider,9757
Number of provider and non-provider sales by product type,Q1-2017,Endowments,Provider,10526
Number of provider and non-provider sales by product type,Q1-2018,Endowments,Provider,10917
Number of provider and non-provider sales by product type,Q2-2021,Endowments,Provider,2940
Number of provider and non-provider sales by product type,Q2-2020,Endowments,Provider,7358
Number of provider and non-provider sales by product type,Q2-2019,Endowments,Provider,8924
Number of provider and non-provider sales by product type,Q2-2017,Endowments,Provider,10329
Number of provider and non-provider sales by product type,Q2-2018,Endowments,Provider,10401
Number of provider and non-provider sales by product type,Q3-2021,Endowments,Provider,2741
Number of provider and non-provider sales by product type,Q3-2020,Endowments,Provider,7519
Number of provider and non-provider sales by product type,Q3-2019,Endowments,Provider,9799
Number of provider and non-provider sales by product type,Q3-2018,Endowments,Provider,10768
Number of provider and non-provider sales by product type,Q3-2017,Endowments,Provider,12533
Number of provider and non-provider sales by product type,Q4-2021,Endowments,Provider,2827
Number of provider and non-provider sales by product type,Q4-2020,Endowments,Provider,5951
Number of provider and non-provider sales by product type,Q4-2019,Endowments,Provider,11125
Number of provider and non-provider sales by product type,Q4-2018,Endowments,Provider,11734
Number of provider and non-provider sales by product type,Q4-2017,Endowments,Provider,13451
Number of provider and non-provider sales by product type,Q1-2019,ISA,Non-provider,26356
Number of provider and non-provider sales by product type,Q1-2020,ISA,Non-provider,43608
Number of provider and non-provider sales by product type,Q1-2017,ISA,Non-provider,49598
Number of provider and non-provider sales by product type,Q1-2018,ISA,Non-provider,52897
Number of provider and non-provider sales by product type,Q1-2021,ISA,Non-provider,187269
Number of provider and non-provider sales by product type,Q2-2019,ISA,Non-provider,27046
Number of provider and non-provider sales by product type,Q2-2018,ISA,Non-provider,37452
Number of provider and non-provider sales by product type,Q2-2017,ISA,Non-provider,42019
Number of provider and non-provider sales by product type,Q2-2020,ISA,Non-provider,55491
Number of provider and non-provider sales by product type,Q2-2021,ISA,Non-provider,74730
Number of provider and non-provider sales by product type,Q3-2019,ISA,Non-provider,30895
Number of provider and non-provider sales by product type,Q3-2018,ISA,Non-provider,33459
Number of provider and non-provider sales by product type,Q3-2017,ISA,Non-provider,40483
Number of provider and non-provider sales by product type,Q3-2020,ISA,Non-provider,45479
Number of provider and non-provider sales by product type,Q3-2021,ISA,Non-provider,64937
Number of provider and non-provider sales by product type,Q4-2018,ISA,Non-provider,24091
Number of provider and non-provider sales by product type,Q4-2019,ISA,Non-provider,34007
Number of provider and non-provider sales by product type,Q4-2017,ISA,Non-provider,43533
Number of provider and non-provider sales by product type,Q4-2020,ISA,Non-provider,55380
Number of provider and non-provider sales by product type,Q4-2021,ISA,Non-provider,78126
Number of provider and non-provider sales by product type,Q1-2019,ISA,Provider,23237
Number of provider and non-provider sales by product type,Q1-2017,ISA,Provider,27999
Number of provider and non-provider sales by product type,Q1-2018,ISA,Provider,30524
Number of provider and non-provider sales by product type,Q1-2020,ISA,Provider,37315
Number of provider and non-provider sales by product type,Q1-2021,ISA,Provider,109018
Number of provider and non-provider sales by product type,Q2-2019,ISA,Provider,29301
Number of provider and non-provider sales by product type,Q2-2018,ISA,Provider,30599
Number of provider and non-provider sales by product type,Q2-2017,ISA,Provider,32724
Number of provider and non-provider sales by product type,Q2-2020,ISA,Provider,42029
Number of provider and non-provider sales by product type,Q2-2021,ISA,Provider,93808
Number of provider and non-provider sales by product type,Q3-2018,ISA,Provider,22998
Number of provider and non-provider sales by product type,Q3-2019,ISA,Provider,23813
Number of provider and non-provider sales by product type,Q3-2017,ISA,Provider,25389
Number of provider and non-provider sales by product type,Q3-2020,ISA,Provider,41457
